text,sentiment_score
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】新华社北 ​  展开c,-0.5432532053026564
【#李克强同志生平照片#】中国共产党的优秀党员，久经考验的忠诚的共产主义战士，杰出的无产阶级革命家、政治家，党和国家的卓越领导人，中国共产党第十七届、十八届、十九届中央政治局常委，国务院原总理李克强同志的遗体，于今日在北京火化。李克强同志永垂不朽！↓↓#李克强同志遗体在京火化#(新华 ​  展开c,-0.500244606251145
【#李克强同志遗体在京火化#  习近平等到八宝山革命公墓送别】 O李克强同志遗体在京火化 习近平等到八宝山革命公墓送别 ​,-0.6922228706512856
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】@新华社 ​,-0.5012625000000002
#李克强同志遗体在京火化# 李克强同志永垂不朽！ ​,-0.6198024930812688
#李克强同志遗体在京火化# L人民日报的微博视频 ​,-0.5012625000000002
【#中国群众纷纷前往李克强故居献花#】11月2日，中国国务院原总理李克强的遗体在北京八宝山革命公墓火化。大批群众自发前往李克强的童年故居献花悼念，寄托他们的哀思。#李克强同志遗体在京火化##天安门下半旗悼念李克强同志# L今日俄罗斯RT的微博视频 ​,-0.7103754622747417
#李克强同志遗体在京火化# 李克强同志的一生，是革命的一生、奋斗的一生、光辉的一生，是全心全意为人民服务的一生，是献身于共产主义事业的一生。李克强同志音容笑貌犹在，却已天人永隔。泪眼回顾过往，我们永远怀念。 ​,-0.5722238510745092
#李克强同志遗体在京火化# 【李克强同志遗体在京火化 习近平等到八宝山革命公墓送别】（新华社客户端）O网页链接【李克强同志生平】（新华社客户端）O网页链接【李克强同志生平照片】（新华社客户端）O网页链接 ​,0.531587118562224
#李克强同志遗体在京火化#(人民日报) L黄龙检察的微博视频 ​,-0.5833292986698804
#李克强同志遗体在京火化# 李克强同志永垂不朽！ ​,-0.6198024930812688
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】新华社北 ​  展开c,-0.5432532053026564
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】中国共产 ​  展开c,-0.5711418646210652
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】中国共产 ​  展开c,-0.5711418646210652
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】 ​,-0.5012625000000002
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】中国共产 ​  展开c,-0.5711418646210652
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】中国共产 ​  展开c,-0.5711418646210652
【#李克强同志遗体在京火化# 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正等到八宝山革命公墓送别。胡锦涛送花圈表示哀悼 李克强同志抢救期间和逝世后，习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正胡锦涛等同志，前往医院看望或通过各种形式对李克强同志逝世表示沉痛哀悼并向其亲属表示深切慰问】新华社北 ​  展开c,-0.5432532053026564
